Order_Date,Cod_Anio,Cod_Mes,Cod_Dia,Nom_Mes,Nom_Dia,Category,Sub_Category,Region,State,City,Sales,Profit,Quantity,Discount
2014-03-01,2014,3,1,Marzo,Sã¡bado,Office Supplies,Paper,Central,Texas,Houston,16.448,5.551199999999998,2,0.2
2014-04-01,2014,4,1,Abril,Martes,Office Supplies,Labels,Central,Illinois,Naperville,11.784,4.271699999999999,3,0.2
2014-04-01,2014,4,1,Abril,Martes,Office Supplies,Storage,Central,Illinois,Naperville,272.736,-64.77480000000001,3,0.2
2014-04-01,2014,4,1,Abril,Martes,Office Supplies,Binders,Central,Illinois,Naperville,3.539999999999999,-5.487,2,0.8
2014-05-01,2014,5,1,Mayo,Jueves,Office Supplies,Art,East,Pennsylvania,Philadelphia,19.536,4.884,3,0.2
2014-06-01,2014,6,1,Junio,Domingo,Office Supplies,Art,South,Kentucky,Henderson,5.48,1.4796000000000005,2,0.0
2014-06-01,2014,6,1,Junio,Domingo,Furniture,Chairs,South,Kentucky,Henderson,2573.82,746.4077999999997,9,0.0
2014-06-01,2014,6,1,Junio,Domingo,Office Supplies,Binders,South,Kentucky,Henderson,609.98,274.491,2,0.0
2014-06-01,2014,6,1,Junio,Domingo,Office Supplies,Art,South,Georgia,Athens,12.78,5.2398,3,0.0
2014-06-01,2014,6,1,Junio,Domingo,Technology,Phones,South,Kentucky,Henderson,391.98,113.67419999999998,2,0.0
2014-06-01,2014,6,1,Junio,Domingo,Technology,Phones,South,Kentucky,Henderson,755.96,204.1092,4,0.0
2014-06-01,2014,6,1,Junio,Domingo,Office Supplies,Fasteners,South,Kentucky,Henderson,31.12,0.3111999999999995,4,0.0
2014-06-01,2014,6,1,Junio,Domingo,Office Supplies,Paper,South,Kentucky,Henderson,6.54,3.0084,1,0.0
2014-06-01,2014,6,1,Junio,Domingo,Office Supplies,Paper,West,California,Los Angeles,19.44,9.3312,3,0.0
2014-07-01,2014,7,1,Julio,Martes,Furniture,Furnishings,Central,Texas,Huntsville,76.72800000000001,-53.70959999999999,3,0.6
2014-07-01,2014,7,1,Julio,Martes,Office Supplies,Binders,Central,Texas,Huntsville,10.429999999999998,-18.252500000000005,7,0.8
2014-09-01,2014,9,1,Septiembre,Lunes,Office Supplies,Art,Central,Texas,Laredo,9.344,1.1679999999999997,2,0.2
2014-09-01,2014,9,1,Septiembre,Lunes,Technology,Accessories,Central,Texas,Laredo,31.200000000000003,9.749999999999996,3,0.2
2014-10-01,2014,10,1,Octubre,Miã©rcoles,Furniture,Furnishings,South,Virginia,Springfield,51.94,21.2954,1,0.0
2014-10-01,2014,10,1,Octubre,Miã©rcoles,Office Supplies,Labels,South,Virginia,Springfield,2.89,1.3583,1,0.0
2014-11-01,2014,11,1,Noviembre,Sã¡bado,Furniture,Furnishings,East,Delaware,Dover,9.94,3.0813999999999995,2,0.0
2014-01-02,2014,1,2,Enero,Jueves,Technology,Accessories,Central,Wisconsin,Green Bay,468.90000000000003,206.31600000000006,6,0.0
